"Feature ID"	"Expression values"	"Gene length"	"Unique gene reads"	"Total gene reads"	"RPKM"	"Chromosome region start"	"Chromosome region end"
MT0986	31.525	2019	1093	1093	31.525	1071268	1073286
MT0987	42.757	222	163	163	42.757	1073340	1073561
MT0988	60.053	384	396	396	60.053	1073558	1073941
MT0989	46.855	348	280	280	46.855	1074087	1074434
MT0990	12.768	675	148	148	12.768	1074453	1075127
MT0991	5.369	141	13	13	5.369	1075124	1075264
MT0992	3.417	801	47	47	3.417	1075310	1076110
MT0992.1	5.865	417	42	42	5.865	1076209	1076625
MT0993	24.429	441	185	185	24.429	1076791	1077231
MT0994	37.478	693	446	446	37.478	1077246	1077938
MT0995	393.077	360	2430	2430	393.077	1077988	1078347
MT0996	380.884	357	2335	2335	380.884	1078344	1078700
MT0997	237.169	2379	9689	9689	237.169	1078690	1081068
MT0998	105.244	633	1144	1144	105.244	1081065	1081697
MT0999.1	68.443	810	952	952	68.443	1081788	1082597
MT1000	118.314	1167	2371	2371	118.314	1082597	1083763
bccA-1	155.609	2004	5355	5355	155.609	1083760	1085763
pccB-1	122.05	1596	3345	3345	122.05	1085769	1087364
MT1003	108.966	1149	2150	2150	108.966	1087361	1088509
MT1003.1	125.948	1683	3640	3640	125.948	1088506	1090188
MT1004	20.893	2804	1006	1006	20.893	1090356	1093159
MT1006.1	1.906	1008	31	33	1.906	1093376	1094383
rpmF	93.04	174	278	278	93.04	1094913	1095086
MT1008	55.589	1431	1351	1366	55.589	1095105	1096535
MT1009	369.654	693	4399	4399	369.654	1096855	1097547
MT1010	518.03	1515	13477	13477	518.03	1097547	1099061
MT1011	567.833	1341	13076	13076	567.833	1099159	1100499
MT1510	113.196	801	1557	1557	113.196	1650872	1651672
mscL	70.366	456	551	551	70.366	1101064	1101519
MT1014	9.978	747	128	128	9.978	1101842	1102588
MT1015	15.534	2568	685	685	15.534	1102581	1105148
MT1017	28.239	1161	563	563	28.239	1105155	1106315
MT1018	17.028	1002	293	293	17.028	1106444	1107445
MT1019	14.714	657	166	166	14.714	1107482	1108138
MT1020	53.957	354	328	328	53.957	1108211	1108564
MT1021	34.96	588	353	353	34.96	1108617	1109204
galU	56.21	921	889	889	56.21	1109311	1110231
moeA-2	96.465	1281	2122	2122	96.465	1110308	1111588
rimJ	40.155	612	422	422	40.155	1111651	1112262
MT1025	182.079	1176	3677	3677	182.079	1112324	1113499
MTt15	13.026	76	17	17	13.026	1113550	1113625
MT1025.1	9.912	141	24	24	9.912	1113673	1113813
MT1025.2	1326.202	252	5739	5739	1326.202	1113899	1114150
MT1025.3	694.644	210	2505	2505	694.644	1114211	1114420
MT1026	741.818	264	3363	3363	741.818	1114499	1114762
MT1027	140.532	951	2295	2295	140.532	1114837	1115787
MT1028	47.953	759	625	625	47.953	1115805	1116563
MT1029	53.24	618	565	565	53.24	1116569	1117186
arcA	26.155	1209	543	543	26.155	1117223	1118431
MT1031	16.985	1512	441	441	16.985	1118466	1119977
MT1032	11.335	858	167	167	11.335	1120060	1120917
MT1033	45.514	1314	1027	1027	45.514	1120927	1122240
MT1034	40.098	1644	1104	1132	40.098	1122275	1123918
MT1035	86.052	1704	2454	2518	86.052	1123758	1125461
metG	22.696	1560	608	608	22.696	1125488	1127047
MT1037	4.968	504	43	43	4.968	1127424	1127927
MT1038	83.367	1089	1559	1559	83.367	1128135	1129223
ksgA	49.016	954	803	803	49.016	1129196	1130149
MT1040	18.463	921	292	292	18.463	1130235	1131155
MT1040.1	28.34	300	146	146	28.34	1131425	1131724
MT1041	39.003	1614	1081	1081	39.003	1131690	1133303
pth	9.605	576	95	95	9.605	1133377	1133952
MT1043	30.914	648	344	344	30.914	1133965	1134612
MT1044	30.015	681	351	351	30.015	1134829	1135509
prsA	67.375	981	1135	1135	67.375	1135545	1136525
glmU	62.312	1542	1650	1650	62.312	1136617	1138158
MTt16	0	72	0	0	0	1138120	1138191
MT1047	45.803	609	479	479	45.803	1138344	1138952
mfd	28.999	3705	1845	1845	28.999	1139011	1142715
MT1049	23.754	885	361	361	23.754	1142808	1143692
MT1050	33.502	810	466	466	33.502	1143702	1144511
eno	47.896	1290	1061	1061	47.896	1144608	1145897
MT1052	34.754	687	410	410	34.754	1145902	1146588
MT1053	40.716	492	344	344	40.716	1146581	1147072
MT1054	30.937	960	510	510	30.937	1147063	1148022
MT1054.1	41.783	177	127	127	41.783	1148024	1148200
MT1055	5.468	213	20	20	5.468	1148262	1148474
kdpE	6.584	681	77	77	6.584	1148471	1149151
kdpD	16.695	2616	750	750	16.695	1149148	1151763
MT1057.1	1.765	99	3	3	1.765	1151958	1152056
kdpA	8.993	1716	265	265	8.993	1152056	1153771
kdpB	8.885	2130	325	325	8.885	1153768	1155897
kdpC	9.808	570	96	96	9.808	1155897	1156466
tcrS	10.353	1530	272	272	10.353	1156470	1157999
trcR	22.074	831	315	315	22.074	1158007	1158837
MT1063	3.733	390	25	25	3.733	1158962	1159351
MT1065	8.392	687	99	99	8.392	1159419	1160105
MT1066	15.12	285	55	74	15.12	1160588	1160872
MT1067	61.617	327	184	346	61.617	1160899	1161225
MT1068	7.131	1176	144	144	7.131	1161341	1162516
MT1069	6.752	828	96	96	6.752	1162593	1163420
MT1070	7.596	138	18	18	7.596	1163734	1163871
MT1070.1	7.718	249	33	33	7.718	1163981	1164229
MT1071	9.046	309	48	48	9.046	1164208	1164516
MT1072	19.453	928	0	310	19.453	1164616	1165543
MT1073	42.398	1026	747	747	42.398	1165826	1166851
MT1074	11.572	624	124	124	11.572	1167098	1167721
MT1075	22.778	882	345	345	22.778	1167718	1168599
MT1075.1	124.512	789	1687	1687	124.512	1168681	1169469
MT1076	9.239	1248	0	198	9.239	1169469	1170716
MT1077	15.224	153	40	40	15.224	1170801	1170953
MT1078	8.505	1116	163	163	8.505	1171084	1172199
MT1079	11.074	447	85	85	11.074	1172432	1172878
MT1080	3.78	909	59	59	3.78	1172924	1173832
MT1081	2.311	756	30	30	2.311	1173991	1174746
MT1082	9.659	627	104	104	9.659	1175041	1175667
MT1083	20.904	390	140	140	20.904	1175769	1176158
MT1083.1	63.199	387	420	420	63.199	1176145	1176531
MT1083.2	77.301	339	450	450	77.301	1176612	1176950
MT1084	30.83	357	189	189	30.83	1176932	1177288
MTt17	0.787	74	1	1	0.787	1177442	1177515
MT1085	16.747	765	220	220	16.747	1177674	1178438
MT1086	17.771	213	65	65	17.771	1178650	1178862
MT1087	1159.031	1383	27526	27526	1159.031	1179241	1180623
MT1088	77.681	1632	2177	2177	77.681	1180730	1182361
MT1089	45.924	1107	873	873	45.924	1182395	1183501
MT1090	30.1	474	245	245	30.1	1183554	1184027
MT1091	15.03	864	223	223	15.03	1184061	1184924
MT1092	10.528	885	160	160	10.528	1184902	1185786
MT1093	29.628	1083	551	551	29.628	1185787	1186869
MT1094	8.874	420	64	64	8.874	1186950	1187369
MT1095	59.466	567	579	579	59.466	1187481	1188047
MT1096	45.881	396	312	312	45.881	1188044	1188439
MT1096.1	8.02	2004	260	276	8.02	1188467	1190470
MT1096.2	1.894	123	4	4	1.894	1190575	1190697
MT1097	5.671	1602	148	156	5.671	1190803	1192404
MT1098	7.021	141	17	17	7.021	1192473	1192613
MT1099	24.296	1812	756	756	24.296	1192697	1194508
MT1100	44.315	774	589	589	44.315	1194505	1195278
MT1101	31.473	1038	561	561	31.473	1195290	1196327
MT1102	1960.533	837	28179	28179	1960.533	1196514	1197350
MT1103	193.233	861	2857	2857	193.233	1197457	1198317
MT1104	136.357	1218	2852	2852	136.357	1198391	1199608
MT1105	19.411	957	319	319	19.411	1199661	1200617
MT1106	59.856	1077	1107	1107	59.856	1200819	1201895
MT1107	7.345	111	14	14	7.345	1201859	1201969
MT1108	56.731	1395	1359	1359	56.731	1201952	1203346
pra	108.896	723	1352	1352	108.896	1203548	1204270
metB	46.856	1167	939	939	46.856	1204302	1205468
greA	502.574	495	4272	4272	502.574	1205539	1206033
MT1112	18.277	462	145	145	18.277	1206219	1206680
lmbE	52.39	867	780	780	52.39	1206755	1207621
MT1114	44.057	267	202	202	44.057	1207618	1207884
MT1115	35.453	2022	1231	1231	35.453	1207871	1209892
MT1116	11.161	120	23	23	11.161	1209902	1210021
MT1117	33.231	729	416	416	33.231	1209991	1210719
uppS-1	53.51	789	725	725	53.51	1210830	1211618
MT1118.1	17.553	2309	696	696	17.553	1211756	1214064
MT1118.2	4.173	321	23	23	4.173	1214241	1214561
MT1119	2.571	453	20	20	2.571	1214696	1215148
MT1120	2.426	168	7	7	2.426	1215165	1215332
MT1121	1.273	183	4	4	1.273	1215426	1215608
MT1122	7.79	456	61	61	7.79	1215800	1216255
MT1122.1	2.718	150	7	7	2.718	1216501	1216650
MT1123	29.239	1908	957	958	29.239	1216670	1218577
panK	24.621	939	397	397	24.621	1218795	1219733
glyA (NC_002755 1220120..1221401)	97.011	1281	2134	2134	97.011	1220121	1221401
MT1126	1392.826	828	19804	19804	1392.826	1221506	1222333
MT1127	501.606	1302	11215	11215	501.606	1222544	1223845
MT1128	45.204	876	680	680	45.204	1223932	1224807
MT1129	64.374	882	975	975	64.374	1224810	1225691
fumC	58.315	1425	1427	1427	58.315	1225688	1227112
glpX	45.077	987	764	764	45.077	1227143	1228129
MT1132	75.113	552	712	712	75.113	1228380	1228931
MT1133	52.903	1158	1052	1052	52.903	1228938	1230095
MT1134	92.763	312	497	497	92.763	1230207	1230518
MT1135	102.216	237	416	416	102.216	1230518	1230754
MT1136	15.188	1526	398	398	15.188	1230849	1232374
MT1137	52.635	1113	1006	1006	52.635	1232392	1233504
xseB	170.435	273	799	799	170.435	1233514	1233786
xseA	84.224	1248	1805	1805	84.224	1233761	1235008
MT1140	257.996	639	2831	2831	257.996	1235005	1235643
ispH	108.115	990	1838	1838	108.115	1235751	1236740
MT1142	75.159	984	1270	1270	75.159	1236757	1237740
MT1143	6.507	1074	120	120	6.507	1237803	1238876
MT1143.1	16.47	198	56	56	16.47	1238964	1239161
MT1144	13.355	375	86	86	13.355	1239158	1239532
MT1145	8.748	699	105	105	8.748	1239735	1240433
MT1147	11.697	234	47	47	11.697	1240503	1240736
MT1148	16.246	276	77	77	16.246	1240663	1240938
MT1149	101.19	324	563	563	101.19	1241181	1241504
MT1150	18.87	861	279	279	18.87	1241519	1242379
MT1151	8.981	201	31	31	8.981	1242412	1242612
MT1152	3.765	495	32	32	3.765	1242558	1243052
zwf-1	61.517	1401	1480	1480	61.517	1243255	1244655
MT1154	43.035	1023	756	756	43.035	1244677	1245699
MT1155	24.326	936	391	391	24.326	1245692	1246627
MT1156	15.064	951	246	246	15.064	1246675	1247625
MT1157	9.405	582	94	94	9.405	1247630	1248211
MT1157.1	9.803	600	101	101	9.803	1248274	1248873
MT1158	21.91	606	228	228	21.91	1248877	1249482
MT1159	28.465	1473	720	720	28.465	1249479	1250951
MT1160	11.112	1263	241	241	11.112	1251257	1252519
MT1161	23.796	1461	597	597	23.796	1252621	1254081
MT1162	62.543	1581	1698	1698	62.543	1254102	1255682
gltA-3	58.677	1182	1191	1191	58.677	1255679	1256860
MT1164	100.814	1782	3085	3085	100.814	1256821	1258602
metE	508.932	2280	19926	19926	508.932	1258614	1260893
MT1166	0.485	120	1	1	0.485	1261269	1261388
MT1167	5.16	237	21	21	5.16	1261469	1261705
MT1168	8.075	1911	265	265	8.075	1261819	1263729
MT1169	0	243	0	0	0	1263861	1264103
MT1169.1	2.384	342	14	14	2.384	1264153	1264494
MT1170	5.608	405	39	39	5.608	1264581	1264985
MT1171	8.188	1017	143	143	8.188	1265019	1266035
MT1172	9.783	375	63	63	9.783	1266032	1266406
MT1172.1	17.816	219	67	67	17.816	1266689	1266907
MT1173	47.533	849	693	693	47.533	1266836	1267684
MT1174	13.35	807	185	185	13.35	1267692	1268498
MT1175	60.543	807	839	839	60.543	1268641	1269447
MT1176	21.372	1188	436	436	21.372	1269446	1270633
MT1177	67.05	753	867	867	67.05	1270645	1271397
MT1178	691.338	156	1852	1852	691.338	1271525	1271680
MT1179.1	7.922	2345	319	319	7.922	1271912	1274256
MT1180	18.338	651	205	205	18.338	1274389	1275039
MT1181	87.963	333	503	503	87.963	1275131	1275463
MT1182	41.897	303	218	218	41.897	1275517	1275819
MT1183	33.931	1500	485	874	33.931	1275789	1277288
MT1184	20.143	928	0	321	20.143	1277383	1278310
MT1185	23.734	714	291	291	23.734	1278394	1279107
MT1186	88.305	366	555	555	88.305	1279145	1279510
MT1187	26.202	849	382	382	26.202	1279488	1280336
MT1188	19.213	588	194	194	19.213	1280333	1280920
MT1189	91.445	384	603	603	91.445	1280979	1281362
MT1190	47.45	189	154	154	47.45	1281520	1281708
MT1191	247.592	588	2500	2500	247.592	1281796	1282383
MT1192	144.198	147	364	364	144.198	1282380	1282526
MT1193	131.339	1116	2517	2517	131.339	1282546	1283661
MT1194	161.844	693	1926	1926	161.844	1283658	1284350
pimE	32.546	1299	726	726	32.546	1284477	1285775
phhB	53.476	306	281	281	53.476	1285772	1286077
MT1197	16.814	426	123	123	16.814	1286083	1286508
narG	322.481	3699	20484	20484	322.481	1286816	1290514
narH	195.883	1677	5641	5641	195.883	1290553	1292229
narJ	108.965	621	1162	1162	108.965	1292271	1292891
narI	70.426	726	878	878	70.426	1292909	1293634
MT1202	52	1887	1685	1685	52	1293656	1295542
MT1203	47.277	1908	1549	1549	47.277	1295640	1297547
MT1204	55.735	606	580	580	55.735	1297575	1298180
MT1205	53.647	1041	959	959	53.647	1298252	1299292
MT1206	29.026	321	160	160	29.026	1299310	1299630
MT1207	27.521	912	431	431	27.521	1299792	1300703
MT1208	51.763	468	416	416	51.763	1300768	1301235
MT1209	63.887	927	1017	1017	63.887	1301243	1302169
fbiC	108.857	2571	4806	4806	108.857	1302419	1304989
MT1211	635.674	333	3635	3635	635.674	1305157	1305489
fadH	43.337	2025	1507	1507	43.337	1305690	1307714
MT1213	14.089	744	180	180	14.089	1307711	1308454
fdxC	437.376	327	2456	2456	437.376	1308493	1308819
MT1215	292.612	1089	5472	5472	292.612	1308852	1309940
MT1216	184.898	771	2448	2448	184.898	1309968	1310738
MT1217	20.987	2106	759	759	20.987	1310681	1312786
mas-1	28.526	6306	3089	3089	28.526	1313164	1319469
MT1219	19.247	1419	469	469	19.247	1319522	1320940
MT1220	17.418	3009	900	900	17.418	1321007	1324015
MT1221	115.476	1116	2213	2213	115.476	1324019	1325134
MT1222	162.498	1737	4847	4847	162.498	1325263	1326999
MT1223	9.111	1617	253	253	9.111	1327176	1328792
pruA	10.384	1632	291	291	10.384	1328877	1330508
MT1225	6.059	990	103	103	6.059	1330508	1331497
sigI	5.203	873	78	78	5.203	1331579	1332451
MT1227	4.107	879	62	62	4.107	1332467	1333345
MT1228	18.133	957	298	298	18.133	1333376	1334332
MT1229	200.02	828	2844	2844	200.02	1334414	1335241
MT1230	39.396	1422	962	962	39.396	1335281	1336702
MT1231	62.603	1266	1361	1361	62.603	1336735	1338000
MT1232	17.623	228	69	69	17.623	1338092	1338319
MT1233	76.432	336	441	441	76.432	1338454	1338789
MT1234	92.748	1176	1517	1873	92.748	1338836	1340011
MT1235	191.759	297	418	978	191.759	1340146	1340442
MT1236	217.61	285	649	1065	217.61	1340493	1340777
MT1237	9.706	1248	0	208	9.706	1340845	1342092
MT1238	37.911	1278	832	832	37.911	1342429	1343706
MT1239	48.162	954	789	789	48.162	1343703	1344656
dapE	26.52	1065	485	485	26.52	1344747	1345811
MT1241	7.964	585	80	80	7.964	1345808	1346392
MT1242	11.86	1689	344	344	11.86	1346423	1348111
MT1243	51.109	564	495	495	51.109	1348206	1348769
MT1244	28.565	1794	880	880	28.565	1348819	1350612
folP-1	61.459	957	1010	1010	61.459	1350678	1351634
MT1246	53.157	975	890	890	53.157	1351631	1352605
MT1247	92.322	369	585	585	92.322	1352644	1353012
tag	63.442	615	670	670	63.442	1353009	1353623
MT1249	364.12	273	1707	1707	364.12	1353685	1353957
glgA	56.533	1164	1130	1130	56.533	1353985	1355148
glgC	23.485	1215	490	490	23.485	1355323	1356537
MT1252	18.012	333	103	103	18.012	1356780	1357112
MT1253	55.747	1686	1614	1614	55.747	1357246	1358931
MT1254	46.932	675	544	544	46.932	1358959	1359633
MT1255	34.509	1647	976	976	34.509	1359642	1361288
MT1256	31.046	936	499	499	31.046	1361285	1362220
MT1257	26.337	639	289	289	26.337	1362210	1362848
MT1258	137.227	648	1527	1527	137.227	1362990	1363637
sigE	1144.585	774	15213	15213	1144.585	1363900	1364673
MT1260	357.608	660	4053	4053	357.608	1364636	1365295
htrA	265.923	1587	7247	7247	265.923	1365363	1366949
MT1262	160.437	396	1091	1091	160.437	1366951	1367346
MT1263	63.349	831	904	904	63.349	1367379	1368209
MT1264	23.15	1464	582	582	23.15	1368320	1369783
MT1264.1	25.195	594	257	257	25.195	1369768	1370361
MT1265	34.439	558	330	330	34.439	1370408	1370965
MT1266	45.181	174	135	135	45.181	1371017	1371190
mrp	88.666	1173	1786	1786	88.666	1371265	1372437
MT1268	25.63	1236	544	544	25.63	1372450	1373685
MT1269	33.031	543	308	308	33.031	1373810	1374352
MT1270	28.226	1308	634	634	28.226	1374349	1375656
MT1271	123.963	606	1290	1290	123.963	1375718	1376323
MT1272	53.932	528	489	489	53.932	1376464	1376991
MT1273	22.846	1407	552	552	22.846	1377012	1378418
MT1274	20.483	924	325	325	20.483	1378415	1379338
MT1275	28.164	825	399	399	28.164	1379343	1380167
MT1276	26.555	1182	539	539	26.555	1380172	1381353
MT1277	11.742	1101	222	222	11.742	1381430	1382530
mdh	61.175	990	1040	1040	61.175	1382701	1383690
MT1279	40.391	297	206	206	40.391	1383730	1384026
MT1280	18.737	432	139	139	18.737	1384023	1384454
MT1280.1	8.532	1761	258	258	8.532	1384477	1386237
MT1281	39.499	861	584	584	39.499	1386345	1387205
MT1283	65.732	831	938	938	65.732	1387286	1388116
MT1284	24.668	432	183	183	24.668	1388173	1388604
MT1285	19.411	120	40	40	19.411	1388630	1388749
kgd	90.187	3696	5724	5724	90.187	1388844	1392539
MT1287	43.029	789	583	583	43.029	1392681	1393469
MT1288	6.851	153	18	18	6.851	1393495	1393647
MT1289	14.224	1740	423	425	14.224	1393666	1395405
MT1290	11.566	3444	683	684	11.566	1395308	1398751
MT1291	20.176	609	211	211	20.176	1398783	1399391
deaD-1	34.383	1692	999	999	34.383	1399457	1401148
MT1293	30.633	1152	606	606	30.633	1401145	1402296
MT1294	24.862	609	260	260	24.862	1402265	1402873
MT1295	15.299	1218	320	320	15.299	1402873	1404090
MT1296	48.485	1368	1139	1139	48.485	1404204	1405571
tap	5.777	1260	125	125	5.777	1405568	1406827
MT1297.1	6.134	807	85	85	6.134	1406919	1407725
MT1298	23.657	1152	468	468	23.657	1407694	1408845
MT1299	31.576	450	244	244	31.576	1408970	1409419
MT1300	33.753	471	273	273	33.753	1409424	1409894
MT1301	8.008	1389	191	191	8.008	1409917	1411305
MT1302	116.272	1194	2384	2384	116.272	1411380	1412573
MT1303	121.513	681	1421	1421	121.513	1412746	1413426
MT1304	26.098	1881	843	843	26.098	1413446	1415326
MT1305	5.739	1167	115	115	5.739	1415667	1416833
MT1305.1	6.919	303	36	36	6.919	1416881	1417183
MT1306	5.915	699	71	71	5.915	1417144	1417842
MT1307	17.071	423	124	124	17.071	1418065	1418487
MT1308	25.829	735	326	326	25.829	1418500	1419234
MT1309	77.812	348	465	465	77.812	1419447	1419794
MT1310	37.133	1896	1209	1209	37.133	1419896	1421791
MT1311	21.009	1749	631	631	21.009	1421788	1423536
MT1312	86.08	573	847	847	86.08	1423668	1424240
MT1312.1	61.584	591	625	625	61.584	1424189	1424779
MT1313	8.385	507	73	73	8.385	1424924	1425430
MT1314	43.188	1254	930	930	43.188	1425650	1426903
MT1315	41.947	2628	1893	1893	41.947	1426900	1429527
MT1316	48.106	1587	1311	1311	48.106	1429548	1431134
MT1317	35.544	1776	1084	1084	35.544	1431151	1432926
MT1318	17.67	1839	558	558	17.67	1432919	1434757
MT1319	19.544	876	294	294	19.544	1434754	1435629
MT1320	29.474	978	495	495	29.474	1435626	1436603
MT1321	0.792	147	2	2	0.792	1436602	1436748
MT1322	19.175	492	162	162	19.175	1436810	1437301
cysD	20.601	930	329	329	20.601	1437464	1438393
cysN	21.116	1845	669	669	21.116	1438393	1440237
MT1325	24.803	486	207	207	24.803	1440291	1440776
MT1326	6.839	1371	161	161	6.839	1440834	1442204
MT1327	35.143	633	382	382	35.143	1442253	1442885
MT1328	16.813	1524	440	440	16.813	1443024	1444547
MT1329	6.944	369	44	44	6.944	1444546	1444914
MT1330	1.82	96	3	3	1.82	1445041	1445136
MT1330.1	5.759	546	54	54	5.759	1445161	1445706
MTt18	0.766	76	1	1	0.766	1445731	1445806
argS	30.825	1653	875	875	30.825	1445920	1447572
lysA	66.076	1344	1525	1525	66.076	1447569	1448912
thrA	94.86	1326	2160	2160	94.86	1448916	1450241
thrC	123.296	1083	2293	2293	123.296	1450238	1451320
thrB	44.15	951	721	721	44.15	1451538	1452488
rho	1095.72	1809	34038	34038	1095.72	1452745	1454553
rpmE	1069.055	243	4461	4461	1069.055	1454704	1454946
prfA	212.493	1074	3919	3919	212.493	1455036	1456109
papM	138.361	915	2174	2174	138.361	1456169	1457083
MT1340	118.07	654	1326	1326	118.07	1457099	1457752
rfe	44.273	1218	926	926	44.273	1457833	1459050
MT1342	67.057	99	114	114	67.057	1459212	1459310
MT1343	154.451	486	1289	1289	154.451	1459307	1459792
atpB	144.927	753	1874	1874	144.927	1459785	1460537
atpE	216.364	246	914	914	216.364	1460586	1460831
atpF	303.357	516	2688	2688	303.357	1460862	1461377
atpH	228.636	1341	5265	5265	228.636	1461384	1462724
atpA	175.76	1650	4980	4980	175.76	1462769	1464418
atpG	174.067	918	2744	2744	174.067	1464425	1465342
atpD	311.696	1461	7820	7820	311.696	1465382	1466842
atpC	282.576	366	1776	1776	282.576	1466856	1467221
MT1352	168.274	444	1283	1283	168.274	1467229	1467672
MT1353	85.409	1335	263	1958	85.409	1467712	1469046
MT1354	20.212	582	202	202	20.212	1469212	1469793
murA	59.207	1257	1278	1278	59.207	1469862	1471118
MTr01	46156.74	1536	1217453	1217453	46156.74	1471388	1472923
MT1356	1404.208	150	3617	3617	1404.208	1473005	1473154
MTr02	187754.565	3138	10117409	10117409	187754.565	1473199	1476336
MTr03	14772.615	115	29173	29173	14772.615	1476440	1476554
ogt	70.394	522	631	631	70.394	1476675	1477196
MT1358	68.74	1491	1760	1760	68.74	1477169	1478659
MT1359	30.979	1626	865	865	30.979	1478740	1480365
MT1360	30.191	1599	594	829	30.191	1480435	1482033
MT1361	16.043	1677	325	462	16.043	1482040	1483716
MT1362	36.123	1704	1057	1057	36.123	1483729	1485432
MT1363	59.345	681	694	694	59.345	1485494	1486174
MT1363.1	110.585	297	564	564	110.585	1486197	1486493
MT1364	795.48	459	6270	6270	795.48	1486528	1486986
phbA	338.651	1170	6804	6804	338.651	1487077	1488246
MT1366	262.02	915	4117	4117	262.02	1488376	1489290
MT1367	29.008	1608	801	801	29.008	1489368	1490975
MT1367.1	20.407	117	41	41	20.407	1491118	1491234
glgB	44.206	2196	1667	1667	44.206	1491331	1493526
MT1369	63.257	2214	2405	2405	63.257	1493534	1495747
MT1370	35.385	2592	1575	1575	35.385	1495778	1498369
dinG	14.77	1995	506	506	14.77	1498409	1500403
MT1372	13.532	1347	313	313	13.532	1500427	1501773
clpS	177.365	306	932	932	177.365	1501875	1502180
MT1374	117.886	657	1330	1330	117.886	1502140	1502796
MT1375	66.505	1035	1182	1182	66.505	1502813	1503847
MT1376	69.062	441	523	523	69.062	1503855	1504295
MT1376.1	78.471	282	380	380	78.471	1504317	1504598
cysM	71.953	972	1201	1201	71.953	1504608	1505579
MT1378	126.258	684	1483	1483	126.258	1505609	1506292
murI	48.171	816	675	675	48.171	1506289	1507104
MT1380	99.748	822	1408	1408	99.748	1507131	1507952
rph	83.543	780	1119	1119	83.543	1507969	1508748
MT1382	39.959	615	422	422	39.959	1508787	1509401
MT1383	36.416	363	227	227	36.416	1509398	1509760
MT1384	27.512	381	180	180	27.512	1509757	1510137
acp-2	32.654	321	180	180	32.654	1510182	1510502
MT1387	36.948	1398	887	887	36.948	1510664	1512061
MT1388	31.65	1161	631	631	31.65	1512061	1513221
MT1389	15.823	633	172	172	15.823	1513188	1513820
MTt19	2.08	84	3	3	2.08	1513943	1514026
MT1390	16.477	2580	730	730	16.477	1514262	1516841
MT1392	13.889	1740	415	415	13.889	1516838	1518577
fabG (NC_002755 1518705..1519449)	13.228	744	169	169	13.228	1518706	1519449
MT1394	14.47	330	82	82	14.47	1519446	1519775
MT1395	64.965	372	415	415	64.965	1519978	1520349
MT1396	8.372	786	113	113	8.372	1520415	1521200
MT1397	9.488	1872	305	305	9.488	1521220	1523091
MT1398	6.853	1929	227	227	6.853	1523100	1525028
MT1399	14.044	792	191	191	14.044	1525244	1526035
MT1400	15.315	924	243	243	15.315	1526508	1527431
MT1401	2.891	141	7	7	2.891	1527451	1527591
MT1402	4.585	3480	274	274	4.585	1527827	1531306
MT1403	17.501	762	229	229	17.501	1531379	1532140
MT1404	9.091	237	37	37	9.091	1532188	1532424
MT1405	83.907	1023	1474	1474	83.907	1532563	1533585
MT1406	186.827	1191	1387	3821	186.827	1533658	1534848
MT1407	22.485	663	256	256	22.485	1535163	1535825
MT1408	25.588	594	261	261	25.588	1535822	1536415
MT1409	21.223	225	82	82	21.223	1536384	1536608
MT1410	27.153	2046	954	954	27.153	1536899	1538944
MT1411	13.994	387	93	93	13.994	1538999	1539385
MT1412	12.398	822	175	175	12.398	1539606	1540427
MT1413	31.46	261	141	141	31.46	1540396	1540656
MT1414	18.783	1206	389	389	18.783	1540728	1541933
MT1414.1	64.968	147	164	164	64.968	1542039	1542185
MT1415	69.421	786	937	937	69.421	1542236	1543021
MT1416	9.347	1626	261	261	9.347	1543061	1544686
MT1417	11.184	1182	227	227	11.184	1544683	1545864
MT1418	13.001	963	215	215	13.001	1545888	1546850
MT1418.1	31.083	459	245	245	31.083	1546930	1547388
MT1419	69.792	1320	1582	1582	69.792	1547690	1549009
MT1420	35.587	1494	913	913	35.587	1549006	1550499
MT1421	43.697	681	511	511	43.697	1550437	1551117
MT1422	70.06	1428	1718	1718	70.06	1551086	1552513
pyrR	27.616	582	276	276	27.616	1552512	1553093
pyrB	15.165	960	250	250	15.165	1553090	1554049
pyrC	19.366	1293	430	430	19.366	1554046	1555338
MT1426	14.032	498	120	120	14.032	1555335	1555832
carA	19.996	1095	376	376	19.996	1555865	1556959
carB	29.708	3348	1708	1708	29.708	1556959	1560306
pyrF	42.281	825	599	599	42.281	1560303	1561127
MT1430	438.731	309	2328	2328	438.731	1561322	1561630
MT1431	571.768	1620	15906	15906	571.768	1561627	1563246
MT1432	179.554	252	777	777	179.554	1563301	1563552
MT1433	456.51	336	2634	2634	456.51	1563789	1564124
gmk	226.613	654	2545	2545	226.613	1564232	1564885
MT1435	574.514	402	3966	3966	574.514	1564882	1565283
dfp	282.273	1257	6093	6093	282.273	1565299	1566555
metK	552.91	1221	11593	11593	552.91	1566674	1567894
MT1438	31.735	1479	806	806	31.735	1567967	1569445
MT1439	25.84	1386	615	615	25.84	1569442	1570827
MT1440	14.122	1035	251	251	14.122	1570905	1571939
MT1440.1	104.989	1730	3119	3119	104.989	1571985	1573714
MT1441	477.458	402	3296	3296	477.458	1573969	1574370
MT1442	3256.556	270	15099	15099	3256.556	1574367	1574636
MT1443	19.715	960	325	325	19.715	1574707	1575666
MT1444	25.519	963	422	422	25.519	1575691	1576653
MT1445	36.748	786	496	496	36.748	1576604	1577389
MT1446	26.138	1965	882	882	26.138	1577470	1579434
MT1447	46.093	825	653	653	46.093	1579452	1580276
