Gene ID	Gene Name	Value 1	Value 2	log2 (fold change)	Test Statistics	p value	q value
gene2425	fpvR	0	0.179353	inf	0	1	1
gene2426	pvdR	0	0	0	0	1	1
gene2427	pvdT	0	0.379642	inf	0	1	1
gene2428	opmQ	0	0	0	0	1	1
gene2429	pvdP	0.227183	0.157456	-0.52891	0	1	1
gene243	PA0242	0	0.544276	inf	0	1	1
gene2430	PA2393	0	0.392187	inf	0	1	1
gene2431	pvdN	0	0.473079	inf	0	1	1
gene2432	pvdO	0	0	0	0	1	1
gene2433	pvdF	0	0	0	0	1	1
gene2434	pvdE	0.170849	1.34621	2.97811	0	1	1
gene2435	fpvA	3.32359	3.7102	0.158754	0	1	1
gene2436	pvdD	0.203142	0.717991	1.82148	0	1	1
gene2437	pvdJ	0.0292073	0.805056	4.78469	0	1	1
gene2438	PA2402	0.159806	0.377595	1.24052	0	1	1
gene2439	PA2403	0.562779	1.18172	1.07024	0	1	1
gene244	PA0243	0	1.27918	inf	0	1	1
gene2440	PA2404	2.81347	0.40037	-2.81294	0	1	1
gene2441	PA2405	0	0	0	0	1	1
gene2442	PA2406	0	0	0	0	1	1
gene2443	PA2407	0	0	0	0	1	1
gene2444	PA2408	0	0	0	0	1	1
gene2445	PA2409	0	0.628252	inf	0	1	1
gene2446	PA2410	0.785319	0.523503	-0.585081	0	1	1
gene2447	PA2411	0	0.659643	inf	0	1	1
gene2448	PA2412	0	0	0	0	1	1
gene2449	pvdH	0	0.19526	inf	0	1	1
gene245	PA0244	0	0	0	0	1	1
gene2450	PA2414	0.378611	2.49008	2.7174	0	1	1
gene2451	PA2415	0	0	0	0	1	1
gene2452	treA	0.226717	0.329456	0.539195	0	1	1
gene2453	PA2417	0.869334	1.00234	0.205388	0	1	1
gene2454	PA2418	0	0.352647	inf	0	1	1
gene2455	PA2419	1.15276	2.64767	1.19963	0	1	1
gene2456	PA2420	0	0.31239	inf	0	1	1
gene2457	PA2421	0.33698	0	-inf	0	1	1
gene2458	PA2422	0	1.5546	inf	0	1	1
gene2459	PA2423	0	0	0	0	1	1
gene246	aroQ2	0	0	0	0	1	1
gene2460	pvdL	0.0339818	0.0905912	1.41461	0	1	1
gene2461	pvdG	0	0.249137	inf	0	1	1
gene2462	pvdS	1.09607	0.624505	-0.811558	0	1	1
gene2463	PA2427	0	0	0	0	1	1
gene2464	PA2428	0	0.52563	inf	0	1	1
gene2465	PA2429	0	0	0	0	1	1
gene2466	PA2430	0.303028	0	-inf	0	1	1
gene2467	PA2431	0.165785	0	-inf	0	1	1
gene2468	bexR	0.243499	0.198888	-0.291963	0	1	1
gene2469	PA2433	0	2.33462	inf	0	1	1
gene247	PA0246	0.704641	0.686285	-0.038082	0	1	1
gene2470	PA2434	0	0	0	0	1	1
gene2471	PA2435	0.139216	0.289982	1.05864	0	1	1
gene2472	PA2436	1.61359	1.74742	0.114947	0	1	1
gene2473	PA2437	0	0	0	0	1	1
gene2474	PA2438	0	0	0	0	1	1
gene2475	PA2439	0	0	0	0	1	1
gene2476	PA2440	0	0	0	0	1	1
gene2477	PA2441	0	0.209895	inf	0	1	1
gene2478	gcvT2	0.350501	0.254951	-0.4592	0	1	1
gene2479	sdaA	0.695091	0.514527	-0.433957	0	1	1
gene248	pobA	0	0.384884	inf	0	1	1
gene2480	glyA2	0	0	0	0	1	1
gene2481	gcvP2	0.499389	0	-inf	0	1	1
gene2482	gcvH2	0	0	0	0	1	1
gene2483	PA2447	0	0	0	0	1	1
gene2484	PA2448	0	0.153663	inf	0	1	1
gene2485	PA2449	1.5029	1.6487	0.133582	0	1	1
gene2486	PA2450	0	0.325414	inf	0	1	1
gene2488	PA2453	3.71715	9.83527	1.40377	0	1	1
gene2489	PA2454	1.61809	0.773711	-1.06442	0	1	1
gene249	PA0248	0.259969	0.42522	0.709872	0	1	1
gene2490	PA2455	0	0	0	0	1	1
gene2491	PA2457	7.71174	5.13789	-0.58588	-0.694791	0.21235	0.380812
gene2492	PA2458	0	0.155583	inf	0	1	1
gene2493	PA2459	29.9387	18.3153	-0.708962	-1.10254	0.0573	0.164416
gene2494	PA2460	65.5053	57.4749	-0.188679	-0.277387	0.6268	0.750412
gene2495	PA2461	31.065	22.6205	-0.457656	-0.639039	0.26175	0.429871
gene2496	PA2462	3.47853	1.19951	-1.53604	0	1	1
gene2497	PA2463	1.92913	0.722486	-1.41691	0	1	1
gene2498	PA2464	0	0	0	0	1	1
gene2499	PA2465	0	0.235889	inf	0	1	1
gene25	plcB	1.75882	1.05938	-0.731392	0	1	1
gene250	PA0249	0	0	0	0	1	1
gene2500	foxA	0.190256	0.43532	1.19414	0	1	1
gene2501	foxR	0	0	0	0	1	1
gene2502	foxI	0	0	0	0	1	1
gene2503	PA2469	0.486998	0.52563	0.11013	0	1	1
gene2504	gtdA	0.374261	0.166063	-1.17231	0	1	1
gene2505	PA2471	0	0	0	0	1	1
gene2506	PA2472	0	0.125808	inf	0	1	1
gene2507	PA2473	0	0	0	0	1	1
gene2508	PA2474	0	0.511268	inf	0	1	1
gene2509	PA2475	0	0.127105	inf	0	1	1
gene251	PA0250	1.27678	0.873709	-0.54728	0	1	1
gene2510	dsbG	0.978854	1.58284	0.693352	0	1	1
gene2511	PA2477	0	0.346786	inf	0	1	1
gene2512	PA2478	0	0.092869	inf	0	1	1
gene2513	PA2479	0	0	0	0	1	1
gene2514	PA2480	0	0	0	0	1	1
gene2515	PA2481	0.256713	0.655075	1.3515	0	1	1
gene2516	PA2482	1.96046	1.7042	-0.202104	0	1	1
gene2517	PA2483	0.401478	2.76361	2.78316	0	1	1
gene2518	PA2484	0	0.520885	inf	0	1	1
gene2519	PA2485	0	1.23868	inf	0	1	1
gene252	PA0251	0	0.314149	inf	0	1	1
gene2520	PA2486	0	14.7402	inf	-nan	0.00145	0.0119377
gene2521	PA2487	0	0	0	0	1	1
gene2522	PA2488	0	1.15792	inf	0	1	1
gene2523	PA2489	0	0.755187	inf	0	1	1
gene2524	PA2490	0	0	0	0	1	1
gene2525	PA2491	2.66433	1.38056	-0.948519	0	1	1
gene2526	mexT	0.382031	0	-inf	0	1	1
gene2527	mexE	0	0.225509	inf	0	1	1
gene2528	mexF	0.12171	0.174347	0.518511	0	1	1
gene2529	oprN	0	0.184759	inf	0	1	1
gene253	PA0252	0	0	0	0	1	1
gene2530	PA2496	0	0.670242	inf	0	1	1
gene2531	PA2497	0	0	0	0	1	1
gene2532	PA2498	0	0	0	0	1	1
gene2533	PA2499	0.883135	0.864408	-0.0309218	0	1	1
gene2534	PA2500	0.344952	0.498643	0.531614	0	1	1
gene2535	PA2501	0	0	0	0	1	1
gene2536	PA2502	0	0.805235	inf	0	1	1
gene2537	PA2503	0.16823	0.136615	-0.30032	0	1	1
gene2538	PA2504	0	0	0	0	1	1
gene2539	opdT	0	0.196093	inf	0	1	1
gene254	PA0253	0	0	0	0	1	1
gene2540	PA2506	0	0	0	0	1	1
gene2541	catA	0	0	0	0	1	1
gene2542	catC	0	0	0	0	1	1
gene2543	catB	0.191249	0	-inf	0	1	1
gene2544	catR	0	0	0	0	1	1
gene2545	PA2511	0	0	0	0	1	1
gene2546	antA	0.206451	0.309262	0.583027	0	1	1
gene2547	antB	1.57099	34.3088	4.44883	2.91861	0.1328	0.295603
gene2548	antC	0.391513	0.284887	-0.458668	0	1	1
gene2549	xylL	0	0	0	0	1	1
gene255	PA0254	0	0	0	0	1	1
gene2550	xylZ	0	0.175522	inf	0	1	1
gene2551	xylY	0	0	0	0	1	1
gene2552	xylX	0.363498	3.45271	3.24771	0	1	1
gene2553	xylS	0	0.188256	inf	0	1	1
gene2554	czcA	0	0.365293	inf	0	1	1
gene2555	czcB	0.142172	0.115224	-0.303201	0	1	1
gene2556	czcC	0	0	0	0	1	1
gene2557	PA2523	0	0.293622	inf	0	1	1
gene2558	PA2524	0.40496	0.193842	-1.0629	0	1	1
gene2559	PA2525	0.27543	0.182363	-0.594873	0	1	1
gene256	PA0255	0	0.734832	inf	0	1	1
gene2560	PA2526	0.171878	0.497414	1.53306	0	1	1
gene2561	PA2527	0.209372	0.608772	1.53984	0	1	1
gene2562	PA2528	0.464212	0.985118	1.08551	0	1	1
gene2563	PA2529	0	0.799888	inf	0	1	1
gene2564	PA2530	0	0	0	0	1	1
gene2565	PA2531	0	0	0	0	1	1
gene2566	tpx	0	0.752407	inf	0	1	1
gene2567	PA2533	2.06784	1.02831	-1.00786	0	1	1
gene2568	PA2534	0	0.199693	inf	0	1	1
gene2569	PA2535	0.219982	0.27976	0.346806	0	1	1
gene257	PA0256	1.57716	2.44824	0.634421	0	1	1
gene2570	PA2536	0.673317	0.921206	0.452238	0	1	1
gene2571	PA2537	1.12129	0.826166	-0.440663	0	1	1
gene2572	PA2538	0	0.873669	inf	0	1	1
gene2573	PA2539	0	0.331208	inf	0	1	1
gene2574	PA2540	0.857426	0.431046	-0.99217	0	1	1
gene2575	PA2541	0.543515	0	-inf	0	1	1
gene2576	PA2542	0.157746	0.261768	0.730689	0	1	1
gene2577	PA2543	0.11657	0.0942898	-0.306027	0	1	1
gene2578	PA2544	0	0.425673	inf	0	1	1
gene2579	xthA	0	0	0	0	1	1
gene258	PA0257	1.10472	2.96735	1.4255	0	1	1
gene2580	PA2546	0	0	0	0	1	1
gene2581	PA2547	0	0	0	0	1	1
gene2582	PA2548	0.149064	0.386059	1.37289	0	1	1
gene2583	PA2549	0.289486	0.711789	1.29796	0	1	1
gene2584	PA2550	0.314555	0.217806	-0.530266	0	1	1
gene2585	PA2551	0	0.582563	inf	0	1	1
gene2586	PA2552	0	0.395685	inf	0	1	1
gene2587	PA2553	0	0.145055	inf	0	1	1
gene2588	PA2554	0	0	0	0	1	1
gene2589	PA2555	0.735231	0.970923	0.401158	0	1	1
gene259	PA0258	0	0	0	0	1	1
gene2590	PA2556	0	0.426786	inf	0	1	1
gene2591	PA2557	0.458168	0.669742	0.547729	0	1	1
gene2592	PA2558	0	0	0	0	1	1
gene2593	PA2559	6.94017	6.90281	-0.00778721	0	1	1
gene2594	PA2559a	0	0	0	0	1	1
gene2595	PA2560	11.782	0	-inf	-nan	0.00015	0.001803
gene2596	PA2561	0	0	0	0	1	1
gene2597	PA2562	0	0	0	0	1	1
gene2598	PA2563	0.522385	1.57499	1.59216	0	1	1
gene2599	PA2564	0.550172	0.370602	-0.57001	0	1	1
gene26	PA0027	0	0.206658	inf	0	1	1
gene260	PA0259	2.0056	1.95095	-0.0398631	0	1	1
gene2600	PA2565	0	0	0	0	1	1
gene2601	PA2566	0	0.145483	inf	0	1	1
gene2602	PA2567	2.17105	0.785301	-1.46707	0	1	1
gene2603	PA2568	1.78866	1.03977	-0.78262	0	1	1
gene2604	PA2569	23.3057	17.4155	-0.42031	-0.429264	0.4446	0.584407
gene2605	lecA	0	6.0821	inf	0	1	1
gene2606	PA2570.1	0	0	0	0	1	1
gene2607	PA2571	0.203459	1.30389	2.68002	0	1	1
gene2608	PA2572	0.21543	0.912514	2.08263	0	1	1
gene2609	PA2573	0.830552	1.4054	0.758843	0	1	1
gene261	PA0260	9.52026	7.62391	-0.32047	-0.571788	0.32445	0.488538
gene2610	alkB1	0.258397	0.955514	1.88669	0	1	1
gene2611	PA2575	5.5282	2.83644	-0.962729	0	1	1
gene2612	PA2576	0.458111	0	-inf	0	1	1
gene2613	PA2577	0	0	0	0	1	1
gene2614	PA2578	0	0	0	0	1	1
gene2615	kynA	0.363137	1.24353	1.77586	0	1	1
gene2616	PA2580	0	0.55069	inf	0	1	1
gene2617	PA2581	9.50978	0.993189	-3.25927	-1.78613	0.018	0.072604
gene2618	PA2581.1	0	0	0	0	1	1
gene2619	PA2582	0.92672	4.21588	2.18563	0	1	1
gene262	PA0261	2.57219	0.752407	-1.77341	0	1	1
gene2620	PA2583	1.17276	1.29756	0.145883	0	1	1
gene2621	PA2583.1	0	0	0	0	1	1
gene2622	pgsA	12.2261	28.4189	1.21689	1.6504	0.01045	0.049066
gene2623	uvrC	1.45382	0.844659	-0.78341	0	1	1
gene2624	gacA	6.74877	21.7267	1.68678	2.04244	0.00395	0.0247286
gene2625	pqsH	0.971246	2.31016	1.25009	0	1	1
gene2626	PA2588	0	0.172453	inf	0	1	1
gene2627	PA2589	0.735589	0	-inf	0	1	1
gene2628	PA2590	0	0.245031	inf	0	1	1
gene2629	PA2591	1.90339	0.848367	-1.16581	0	1	1
gene263	PA0262	1.68292	0.96339	-0.804777	0	1	1
gene2630	PA2592	3.41113	1.33159	-1.35709	0	1	1
gene2631	qteE	0	0	0	0	1	1
gene2632	PA2594	1.72873	0.18754	-3.20444	0	1	1
gene2633	PA2595	0	0.309083	inf	0	1	1
gene2634	PA2596	0.309715	0	-inf	0	1	1
gene2635	PA2597	0	0	0	0	1	1
gene2636	PA2598	0	0	0	0	1	1
gene2637	PA2599	0	0.787676	inf	0	1	1
gene2638	PA2600	0	0.257246	inf	0	1	1
gene2639	PA2601	0.46002	0	-inf	0	1	1
gene264	hcpC	0	0	0	0	1	1
gene2640	PA2602	0	0.531678	inf	0	1	1
gene2641	PA2603	0	0.171063	inf	0	1	1
gene2642	PA2603.1	0	0	0	0	1	1
gene2643	PA2604	0.36055	1.5496	2.10362	0	1	1
gene2644	PA2605	0	0	0	0	1	1
gene2645	PA2606	0	0	0	0	1	1
gene2646	PA2607	0	0	0	0	1	1
gene2647	PA2608	0	1.47985	inf	0	1	1
gene2648	PA2609	2.96889	2.36612	-0.327401	0	1	1
gene2649	PA2610	0	0.287089	inf	0	1	1
gene265	PA0263.1	0	0	0	0	1	1
gene2650	cysG	0.954448	1.73971	0.866107	0	1	1
gene2651	serS	0.82771	1.74174	1.07333	0	1	1
gene2652	PA2613	5.576	8.3643	0.585015	0.834716	0.1429	0.306489
gene2653	lolA	2.28664	4.27729	0.90347	0	1	1
gene2654	ftsK	3.10273	3.31321	0.0946925	0	1	1
gene2655	trxB1	21.5352	25.0904	0.220434	0.405599	0.47695	0.61059
gene2656	aat	0	0.290171	inf	0	1	1
gene2657	PA2618	2.67693	1.68766	-0.665552	0	1	1
gene2658	infA	0	0	0	0	1	1
gene2659	clpA	5.99776	6.13571	0.0328057	0	1	1
gene266	gabD	1.99159	0.912921	-1.12536	0	1	1
gene2660	PA2621	106.122	101.427	-0.0652916	-0.122565	0.8332	0.896823
gene2661	cspD	33.0392	19.0937	-0.79108	-0.684262	0.1648	0.326881
gene2662	icd	74.9396	49.9861	-0.584203	-1.20309	0.0375	0.127173
gene2663	idh	30.7055	21.0314	-0.545954	-1.1175	0.05185	0.153507
gene2664	PA2625	1.96269	0.490804	-1.99961	0	1	1
gene2665	trmU	1.77329	2.14529	0.274743	0	1	1
gene2666	PA2627	0	0	0	0	1	1
gene2667	PA2628	0	2.34452	inf	0	1	1
gene2668	purB	1.8798	3.84536	1.03254	0	1	1
gene2669	PA2630	2.74127	1.01231	-1.43719	0	1	1
gene267	PA0266	1.93978	1.43876	-0.431066	0	1	1
gene2670	PA2631	0	0	0	0	1	1
gene2671	PA2632	0.561583	0.657504	0.227501	0	1	1
gene2672	PA2633	1.41526	2.01219	0.507702	0	1	1
gene2673	aceA	17.8349	7.20472	-1.30769	-2.22915	0.00055	0.00541885
gene2674	PA2635	0.136729	0.415403	1.60319	0	1	1
gene2675	PA2636	0.657676	0.987211	0.585982	0	1	1
gene2676	nuoA	9.16896	22.6639	1.30556	1.25973	0.0398	0.130709
gene2677	nuoB	1.35144	2.46011	0.864233	0	1	1
gene2678	nuoD	4.75352	3.88502	-0.291076	0	1	1
gene2679	nuoE	1.30024	0.447001	-1.54043	0	1	1
gene268	PA0267	0.491172	0	-inf	0	1	1
gene2680	nuoF	1.76294	1.79861	0.0289046	0	1	1
gene2681	nuoG	1.444	1.0755	-0.42507	0	1	1
gene2682	nuoH	0.526317	1.96597	1.90124	0	1	1
gene2683	nuoI	0.668051	0	-inf	0	1	1
gene2684	nuoJ	0	0.745486	inf	0	1	1
gene2685	nuoK	0	0	0	0	1	1
gene2686	nuoL	1.03117	1.34111	0.379145	0	1	1
gene2687	nuoM	0.268808	0.557011	1.05113	0	1	1
gene2688	nuoN	0.791258	1.0037	0.343112	0	1	1
gene2689	PA2650	0.918781	1.18615	0.368497	0	1	1
gene269	PA0268	0.266048	0.184315	-0.529513	0	1	1
gene2690	PA2651	1.51391	1.31954	-0.198249	0	1	1
gene2691	PA2652	0.439011	0.568755	0.373549	0	1	1
gene2692	PA2653	0.218788	0	-inf	0	1	1
gene2693	PA2654	0.830769	0.600139	-0.46915	0	1	1
gene2694	PA2655	0	0	0	0	1	1
gene2695	PA2656	0.216538	1.3535	2.644	0	1	1
gene2696	PA2657	0.504522	0	-inf	0	1	1
gene2697	PA2658	0	0.975208	inf	0	1	1
gene2698	PA2659	2.93404	5.52096	0.912028	0	1	1
gene2699	PA2660	0.277103	0.253004	-0.131262	0	1	1
gene27	PA0028	0.413831	0.535375	0.371511	0	1	1
gene270	PA0269	0	0	0	0	1	1
gene2700	PA2661	0	0.336351	inf	0	1	1
gene2701	PA2662	0.247027	0.289259	0.227694	0	1	1
gene2702	ppyR	2.57714	2.37774	-0.116184	0	1	1
gene2703	fhp	0.869728	0.83086	-0.0659584	0	1	1
gene2704	PA2665	0.132094	0.738341	2.48272	0	1	1
gene2705	PA2666	0	1.54864	inf	0	1	1
gene2706	PA2667	0	2.35801	inf	0	1	1
gene2708	PA2669	0	0.558679	inf	0	1	1
gene2709	PA2670	0	0.478927	inf	0	1	1
gene271	PA0270	0	0	0	0	1	1
gene2710	PA2671	0	0	0	0	1	1
gene2711	PA2672	0	0	0	0	1	1
gene2712	PA2673	0	0	0	0	1	1
gene2713	PA2674	1.04443	0	-inf	0	1	1
gene2714	PA2675	0.661656	0.555867	-0.25134	0	1	1
gene2715	PA2676	0	0.529225	inf	0	1	1
gene2716	PA2677	0	1.63873	inf	0	1	1
gene2717	PA2678	9.61798	9.31965	-0.0454571	-0.0568336	0.94255	0.963389
gene2718	PA2679	0	0.254277	inf	0	1	1
gene2719	PA2680	0	0.287089	inf	0	1	1
gene272	PA0271	0	0	0	0	1	1
gene2720	PA2681	0	0	0	0	1	1
gene2721	PA2682	0	0	0	0	1	1
gene2722	PA2683	2.11445	0.956561	-1.14435	0	1	1
gene2723	PA2684	0.806883	0.199954	-2.01269	0	1	1
gene2724	PA2685	13.6866	1.84111	-2.89412	-3.80312	5e-05	0.000698837
gene2725	pfeR	0	0.198089	inf	0	1	1
gene2726	pfeS	0.155865	0.450008	1.52966	0	1	1
gene2727	pfeA	0	0.227843	inf	0	1	1
gene2728	PA2689	0.339699	0	-inf	0	1	1
gene2729	PA2690	0	0	0	0	1	1
gene273	PA0272	0	0.621894	inf	0	1	1
gene2730	PA2691	0	0	0	0	1	1
gene2731	PA2692	0	1.76472	inf	0	1	1
gene2732	PA2693	1.07186	0.700565	-0.613521	0	1	1
gene2733	PA2694	0	0	0	0	1	1
gene2734	PA2695	0.194885	0.418502	1.10261	0	1	1
gene2735	PA2696	0	0	0	0	1	1
gene2736	PA2697	0	3.16345	inf	0	1	1
gene2737	PA2698	0	0.580343	inf	0	1	1
gene2738	PA2699	0	0.0886925	inf	0	1	1
gene2739	opdB	0	0.130125	inf	0	1	1
gene274	PA0273	0	0	0	0	1	1
gene2740	PA2701	0	0	0	0	1	1
gene2741	PA2702	0	0.481389	inf	0	1	1
gene2742	PA2703	6.27458	0	-inf	0	1	1
gene2743	PA2704	0	0	0	0	1	1
gene2744	PA2705	0.24996	0.707543	1.50112	0	1	1
gene2745	PA2706	0	0	0	0	1	1
gene2746	PA2707	9.5145	3.79232	-1.32705	-1.29155	0.0591	0.165205
gene2747	PA2708	0	0.413878	inf	0	1	1
gene2748	cysK	3.28015	1.73047	-0.9226	0	1	1
gene2749	PA2710	0	0	0	0	1	1
gene275	PA0274	0	0	0	0	1	1
gene2750	PA2711	0.548788	0.777197	0.502033	0	1	1
gene2751	PA2712	0	1.44462	inf	0	1	1
gene2752	PA2713	0	0	0	0	1	1
gene2753	PA2714	0.118125	0	-inf	0	1	1
gene2754	PA2715	0	1.34906	inf	0	1	1
gene2755	PA2716	0	0.138924	inf	0	1	1
gene2756	cpo	0.382953	0.368895	-0.0539577	0	1	1
gene2757	PA2718	0	0.72684	inf	0	1	1
gene2758	PA2719	0	1.23403	inf	0	1	1
gene2759	PA2720	5.07659	7.69531	0.600118	0.511146	0.34565	0.498527
gene276	PA0275	0.348307	0.448032	0.363242	0	1	1
gene2760	PA2721	0	0	0	0	1	1
gene2761	PA2722	0	0	0	0	1	1
gene2762	PA2723	0	0	0	0	1	1
gene2763	PA2724	0.911499	0	-inf	0	1	1
gene2764	PA2725	1.49859	0.669109	-1.16329	0	1	1
gene2765	PA2726	0	0	0	0	1	1
gene2767	PA2729	1.53573	0.205273	-2.90331	0	1	1
gene2768	PA2730	9.20988	6.701	-0.458807	-0.60349	0.30335	0.472534
gene2769	PA2732	7.08737	13.4985	0.929472	1.2919	0.0283	0.10124
gene277	PA0276	0.731418	0	-inf	0	1	1
gene2770	PA2733	69.9463	93.543	0.419381	0.560483	0.3317	0.489837
gene2771	PA2734	39.0375	30.5433	-0.354006	-0.70899	0.2116	0.380753
gene2772	PA2735	30.8456	66.7609	1.11394	2.22459	0.0002	0.00231154
gene2773	PA2736	1.35307	0.786004	-0.783629	0	1	1
gene2774	PA2736.1	0	0	0	0	1	1
gene2775	PA2737	9.0299	9.95817	0.141172	0.0896638	0.888	0.934655
gene2776	himA	25.818	38.0278	0.558678	0.61305	0.29055	0.461959
gene2777	pheT	0.597029	1.74551	1.54777	0	1	1
gene2778	pheS	0.394309	1.94521	2.30253	0	1	1
gene2779	rplT	12.1526	18.5972	0.613823	0.517225	0.33995	0.494664
gene278	PA0277	12.4961	0.896334	-3.80129	-2.11014	0.2395	0.407761
gene2780	rpmI	125.42	96.5917	-0.376799	-0.470596	0.4404	0.583234
gene2781	infC	199.23	247.051	0.310376	0.537746	0.357	0.509637
gene2782	thrS	17.8688	14.8556	-0.266439	-0.253742	0.65835	0.774257
gene2783	PA2744.1	0	0	0	0	1	1
gene2784	PA2745	0	0.213531	inf	0	1	1
gene2785	PA2746	2.14256	0	-inf	0	1	1
gene2786	PA2746a	0	0	0	0	1	1
gene2787	PA2747	2.80218	0	-inf	0	1	1
gene2788	PA2747a	0	0	0	0	1	1
gene2789	PA2748	0	0	0	0	1	1
gene279	PA0278	0	0	0	0	1	1
gene2790	endA	0	0	0	0	1	1
gene2791	PA2750	0.725173	0	-inf	0	1	1
gene2792	PA2750a	2.15404	3.37687	0.648642	0	1	1
gene2793	PA2751	0.458111	1.05623	1.20516	0	1	1
gene2794	PA2752	0	0	0	0	1	1
gene2795	PA2753	0.838999	1.1226	0.420106	0	1	1
gene2796	PA2754	4.62602	3.73285	-0.309496	0	1	1
gene2797	PA2754a	0	0	0	0	1	1
gene2798	PA2755a	0	0	0	0	1	1
gene2799	eco	31.7758	3.88421	-3.03224	-2.02845	0.05745	0.164416
gene28	PA0029	0	0	0	0	1	1
gene280	PA0279	0	0	0	0	1	1
gene2800	PA2756	1.27678	2.60119	1.02666	0	1	1
gene2801	PA2757	0.641191	0	-inf	0	1	1
gene2802	PA2758	0	0.867619	inf	0	1	1
gene2803	PA2759	0	0	0	0	1	1
gene2804	PA2760	11.7253	8.10341	-0.533023	-0.855092	0.14065	0.30627
gene2805	PA2761	1.37026	3.06284	1.16042	0	1	1
gene2806	PA2762	0	1.4067	inf	0	1	1
gene2807	PA2763	0	0	0	0	1	1
gene2808	PA2763a	0	0	0	0	1	1
gene2809	PA2764	0.68498	0.74725	0.125529	0	1	1
gene281	cysA	0.221567	0	-inf	0	1	1
gene2810	PA2765	2.72713	0.53653	-2.34565	0	1	1
gene2811	PA2766	0	0	0	0	1	1
gene2812	PA2767	0.734908	2.41877	1.71864	0	1	1
gene2813	PA2768	1.07955	1.52971	0.502832	0	1	1
gene2814	PA2769	0	0	0	0	1	1
gene2815	PA2770	3.08282	1.24473	-1.30841	0	1	1
gene2816	PA2771	0	0	0	0	1	1
gene2817	PA2772	0	0	0	0	1	1
gene2818	PA2772a	0	0	0	0	1	1
gene2819	PA2773	0	1.12098	inf	0	1	1
gene282	cysW	1.34361	1.64386	0.290973	0	1	1
gene2820	PA2774	1.03407	2.23994	1.11513	0	1	1
gene2821	PA2775	1.59617	2.39591	0.585962	0	1	1
gene2822	PA2775.1	0	0	0	0	1	1
gene2823	PA2776	1.33614	3.37381	1.33631	0	1	1
gene2824	PA2777	0	0.376512	inf	0	1	1
gene2825	PA2778	0	0.874986	inf	0	1	1
gene2826	PA2779	0	2.36006	inf	0	1	1
gene2827	PA2780	2.83697	1.30548	-1.11976	0	1	1
gene2828	PA2781	4.90735	1.6727	-1.55277	0	1	1
gene2829	PA2782	0	0	0	0	1	1
gene283	cysT	1.57483	1.56483	-0.00918835	0	1	1
gene2830	PA2783	0	0.239073	inf	0	1	1
gene2831	PA2784	0	0	0	0	1	1
gene2832	PA2785	0	0	0	0	1	1
gene2833	PA2786	0	0	0	0	1	1
gene2834	cpg2	0.311889	0.36532	0.228127	0	1	1
gene2835	PA2788	0.433801	0.435206	0.00466522	0	1	1
gene2836	PA2789	0	0.429621	inf	0	1	1
gene2837	PA2790	19.5905	10.7442	-0.866595	-0.961385	0.0897	0.229403
gene2838	PA2791	0	0	0	0	1	1
gene2839	PA2792	1.6057	0.347183	-2.20943	0	1	1
gene284	sbp	8.03458	4.51169	-0.832553	-0.978953	0.0893	0.229356
gene2840	PA2793	2.99312	2.7469	-0.123844	0	1	1
gene2841	PA2795	0.219198	0	-inf	0	1	1
gene2842	tal	3.81883	2.76808	-0.464245	0	1	1
gene2843	PA2797	6.20559	3.58001	-0.793605	0	1	1
gene2844	PA2798	0.936866	0.985787	0.0734331	0	1	1
gene2845	PA2799	0	0	0	0	1	1
gene2846	PA2800	3.19441	1.14289	-1.48287	0	1	1
gene2847	PA2801	1.07031	2.59045	1.27518	0	1	1
gene2848	PA2802	0	0	0	0	1	1
gene2849	PA2803	0	0	0	0	1	1
gene285	PA0284	3.86323	0	-inf	0	1	1
gene2850	PA2804	0	0.562761	inf	0	1	1
gene2851	PA2805	7.48308	0	-inf	-nan	0.00135	0.0114275
gene2852	PA2806	0	0	0	0	1	1
gene2853	PA2807	0	0.330949	inf	0	1	1
gene2854	ptrA	0	0	0	0	1	1
gene2855	copR	0	0	0	0	1	1
gene2856	copS	0	0.652132	inf	0	1	1
gene2857	PA2811	0.415039	0.971992	1.2277	0	1	1
gene2858	PA2812	0.675965	4.91802	2.86306	0	1	1
gene2859	PA2813	0	0.328752	inf	0	1	1
gene286	PA0285	0.363712	0.726776	0.998716	0	1	1
gene2860	PA2814	0	0	0	0	1	1
gene2861	PA2815	0.0805408	0.702785	3.12529	0	1	1
gene2862	PA2816	0	0.691547	inf	0	1	1
gene2863	PA2817	2.44892	1.82783	-0.422018	0	1	1
gene2864	arr	0.602715	0.105149	-2.51905	0	1	1
gene2865	PA2819.1	0	0	0	0	1	1
gene2866	PA2819.2	0	0	0	0	1	1
gene2867	PA2819.3	0	0	0	0	1	1
gene2868	PA2820	6.76757	5.58973	-0.275859	0	1	1
gene2869	PA2821	0.513739	1.84223	1.84234	0	1	1
gene287	desA	5.24413	5.21608	-0.00773796	0	1	1
gene2870	PA2822	0	0.472321	inf	0	1	1
gene2871	PA2823	2.107	0.54329	-1.9554	0	1	1
gene2872	PA2824	0.748951	1.0087	0.429552	0	1	1
gene2873	ospR	0	1.8995	inf	0	1	1
gene2874	PA2826	0	1.93534	inf	0	1	1
gene2875	PA2827	5.19248	5.38486	0.0524866	0	1	1
gene2876	PA2828	1.33977	0.221581	-2.59608	0	1	1
gene2877	PA2829	0.621936	0	-inf	0	1	1
