Feature ID	Gene length	UK	G1	BC8	C45	C19	G45							
malM	918	315	416	1664	44474	7871	4944							
malP	2394	1946	2020	4658	28928	5027	5135							
malQ	2079	1352	1485	1317	10074	1995	634							
malS	2028	276	429	456	1351	335	697							
malT	2706	6790	7272	27511	16973	11246	10848							
malX	221	263	389	196	123	91	115							
malY	132	75	130	51	45	29	55							
malZ	1818	239	306	285	418	210	264							
manA	1176	826	954	1926	3542	2737	1531							
manC	1437	41	44	18	30	16	24							
manX	969	8103	6916	64518	49181	24013	8408							
manY	801	5694	5060	44215	33796	15955	6868							
manZ	861	9236	8321	63927	52654	21677	10706							
map	795	1536	1425	2217	3763	1965	1963							
marA	390	1552	1286	682	698	1122	1336							
marB	216	553	462	334	282	316	404							
marC	666	1048	1275	1388	1139	951	957							
marR	435	785	726	355	518	975	853							
marT	858	2031	1636	927	220	290	790							
mazG	801	3220	2556	2494	1965	2187	3253							
mdaA	723	409	417	346	712	676	367							
mdaB	582	670	604	1051	1402	1293	851							
mdfA	1233	273	315	365	571	390	321							
mdh	939	27882	19583	9062	12486	11369	14469							
mdlA	1773	992	1024	1289	977	777	476							
mdlB	1743	402	461	453	291	254	199							
mdoB	2193	5847	6066	7597	8478	6483	4202							
mdoC	1155	1830	1990	3323	3079	3354	3632							
mdoD	1656	2343	1860	1652	2920	1832	1057							
mdoG	1536	11651	8458	11677	16759	22879	15498							
mdoH	2544	2731	3707	5577	10654	9404	4857							
mdtI	330	374	365	958	111	596	506							
mdtJ	363	2158	1672	4518	406	2973	2658							
melA	1356	6420	6487	7946	3983	14257	308							
melB	1431	2229	3288	4542	2100	7054	420							
melR	933	3867	2397	2457	3729	4229	3752							
menA	930	495	609	717	1274	987	480							
menB	858	827	1204	2242	6059	3410	1684							
menC	963	484	1003	1440	4073	2561	1171							
menD	1671	1006	1302	1628	4062	2707	1136							
menE	1368	649	978	1309	3369	2088	1133							
menF	1296	1121	1511	1097	999	903	456							
menG	486	4768	5077	5920	7514	8176	7803							
mepA	825	187	273	320	700	567	279							
metA	930	1004	634	840	697	1075	1256							
metB	1161	219	276	261	738	743	262							
metC	1188	973	781	951	1079	1003	1101							
metE	2265	370	313	269	241	187	298							
metF	891	767	700	621	782	834	997							
metG	2034	2624	2923	4853	6472	4416	3340							
metH	3684	705	1043	1756	3700	2489	1210							
metJ	318	1941	1498	1685	1314	4109	2148							
metK	1155	2174	1782	3646	3073	3153	3024							
metL	2433	539	682	671	1742	1334	566							
metN	1032	911	668	997	1051	1394	1138							
metQ	816	5171	2749	3718	4812	11298	8303							
metR	954	29	20	26	26	24	40							
mfd	3447	1518	1808	2071	2714	2326	1671							
mglA	1521	2899	1491	1574	4261	3917	954							
mglB	999	6939	2916	2796	9488	6441	1971							
mglC	1011	1157	1049	952	2863	1812	826							
mgsA	459	1077	709	1113	1805	2344	1764							
mgtA	2709	1069	1092	1159	1464	891	1161							
mgtB	2727	8319	5841	6487	3995	1739	2115							
mgtC	696	2536	1870	1577	1058	526	359							
miaA	951	10884	9804	7577	37599	11059	7289							
miaB	1425	2504	2780	3159	5122	2867	3017							
miaE	813	925	797	1110	1122	1132	1115							
mig-14	897	10863	12184	16594	15366	32646	19368							
mig-3	2047	1846	1724	1591	737	1184	1434							
minC	708	2254	2439	5730	2602	3409	3833							
minD	813	8560	6859	16028	8123	11322	15100							
minE	267	2016	1505	3819	1974	2732	3579							
mioC	444	1564	1829	1869	2501	3068	2211							
mipA	747	10324	10079	19450	19223	18799	13344							
misL	2868	1079	1023	1056	821	1061	1178							
mlc	1221	1299	1109	6236	9537	2901	1477							
mltA	1098	1145	1109	1547	1557	1563	1136							
mltB	1080	988	655	439	739	752	353							
mltC	1086	1257	1025	1192	1542	1352	1070							
mltD	1368	5286	8389	13588	12300	10852	9891							
mnmA	1107	2135	3012	3928	5127	4892	2858							
mnmC	2061	1545	1324	849	1154	638	891							
mntH	1242	1947	2095	901	278	480	655							
moaA	990	2635	2699	3035	4292	2466	3509							
moaB	513	417	463	622	1750	599	551							
moaC	486	310	368	569	1418	514	560							
moaD	252	94	141	159	561	207	215							
moaE	453	76	101	126	450	130	117							
mobA	585	668	607	718	928	750	1071							
mobB	516	821	674	927	1040	838	1206							
mod	1959	2342	2060	2340	3697	5765	3494							
modA	774	2668	2146	2225	916	783	546							
modB	690	1029	985	1009	444	283	244							
modC	1059	2493	2386	2713	812	617	751							
modE	789	630	704	807	789	485	700							
modF	1476	886	934	1058	1168	805	886							
moeA	1242	471	514	598	1751	1021	557							
moeB	750	199	326	407	957	649	390							
mogA	591	849	818	953	1369	1033	1193							
motA	831	38164	35274	29737	327	231	143							
motB	930	20235	21566	21388	168	134	86							
mpl	1374	766	713	1158	2442	1590	1090							
mppA	1614	9133	5448	5890	5715	6713	8163							
mraW	942	2477	2921	4740	7647	5124	5308							
mraY	1083	2095	3423	4271	7967	5367	4248							
mrcA	2577	822	859	1337	2237	1936	1356							
mrcB	2523	2664	2659	3740	4216	3729	2965							
mrdA	1902	1197	1141	1718	3660	2330	1147							
mrdB	1113	612	647	938	2372	1539	906							
mreB	1044	1827	1915	2555	9676	6178	2180							
mreC	1053	513	685	784	3237	1910	652							
mreD	492	1133	1300	994	3214	1593	770							
mrp	1110	1995	2240	3679	6878	4900	3801							
mrr	506	257	197	177	216	411	209							
msbA	1749	2737	3182	5025	4529	4156	3565							
msbB	972	2276	1967	2154	3401	2677	2082							
mscL	414	12244	9517	4871	4110	3684	5391							
msgA	240	1564	726	684	309	762	631							
msrA	639	2027	1472	1031	870	533	893							
msyB	375	10869	5258	2183	648	901	1178							
mtgA	729	862	881	603	687	567	636							
mtlA	1917	2006	1775	4068	3004	3933	2461							
mtlD	1149	1862	1729	2869	2011	2361	1695							
mtlR	591	1321	1191	699	486	356	414							
mtr	1161	161	135	177	161	121	149							
mug	507	6779	5260	2725	1017	1111	2349							
mukB	4467	2451	4165	5706	10698	7365	4152							
mukE	705	663	910	1408	2588	1864	889							
mukF	1323	964	1189	1797	2302	2418	1049							
murA	1260	737	944	969	2036	1642	789							
murB	1029	1584	1624	2342	4082	3487	2905							
murC	1476	2668	3716	4577	6451	4867	4721							
murD	1317	1194	1942	1809	3837	2744	2009							
murE	1488	1100	1647	1927	3879	3068	1801							
murF	1359	1267	1876	2334	4751	3020	2099							
murG	1068	578	1150	973	2088	1281	872							
murI	852	1605	1438	2201	3258	2813	2623							
murQ	894	349	241	506	799	673	400							
mutH	696	93	122	142	124	227	150							
mutL	1857	966	1458	1191	2465	1512	843							
mutM	810	697	353	357	4008	433	470							
mutS	2526	1196	1169	1891	2978	2381	1493							
mutT	396	754	497	287	675	345	252							
mutY	1053	776	756	987	1344	1324	868							
mviM	924	859	1112	1109	1717	1280	1433							
mviN	1575	1335	1687	1938	2648	1660	1679							
nadA	1044	143	140	150	102	109	118							
nadB	1623	214	253	395	331	353	253							
nadC	747	174	198	216	373	305	217							
nadD	642	403	438	748	831	937	592							
nadE	828	1907	1891	1832	1753	1048	1811							
nadR	1260	7907	5430	4983	4423	4731	4865							
nagA	1155	2955	2659	2368	2818	2562	2201							
nagB	801	2835	2026	1660	3123	3296	1666							
nagC	1221	2276	2415	2727	2527	2936	2142							
nagD	753	551	740	805	1201	1139	779							
nagE	1953	3679	3592	2805	6650	8554	3165							
nanA	894	209	202	363	8091	678	205							
nanE	690	217	241	273	528	421	308							
nanK	876	518	448	366	573	736	441							
nanT	1491	567	516	676	2529	797	712							
napA	2487	1277	1533	1587	25935	1785	1820							
napB	450	201	228	292	4716	272	450							
napC	603	363	452	616	12191	560	1073							
napD	264	50	47	80	1071	85	69							
napF	492	363	214	320	4022	558	278							
napG	696	88	184	150	3060	121	187							
napH	870	188	372	414	7393	300	466							
narG	3744	724	803	1598	48970	1347	865							
narH	1539	251	300	553	27258	446	288							
narI	678	229	190	344	15940	238	176							
narJ	711	145	159	284	15993	196	146							
narK	1398	196	241	320	21981	308	197							
narL	651	606	673	786	6096	379	591							
narP	648	1070	818	1336	2626	1509	1445							
narQ	1701	745	652	824	609	802	935							
narU	1389	543	351	428	310	929	830							
narV	681	214	305	166	135	150	133							
narW	696	117	254	82	78	82	80							
narX	1797	702	782	1103	5375	764	776							
narY	1545	453	539	237	217	230	211							
narZ	3741	508	676	485	371	395	236							
ndh	1305	2182	1635	1682	3515	1390	1588							
ndk	432	1360	1021	698	2147	1798	973							
nei	792	1328	1502	1744	1704	1905	1541							
nemA	1098	663	757	620	634	1003	363							
nepI	1194	178	195	167	440	283	113							
nfi	672	751	980	669	847	697	715							
nfnB	654	1022	1183	2211	3885	3483	2232							
nfo	858	665	716	955	1309	915	968							
nhaA	1167	2491	1983	1675	2322	1595	728							
nhaB	1545	1572	1287	1961	1555	1884	1380							
nhaR	900	2448	2510	2417	2765	2116	952							
nhoA	846	1125	1610	1894	1782	2012	1489							
nifJ	3525	6847	7909	2491	3539	3485	1752							
nifS	1215	2480	2336	4540	6254	7111	6369							
nifU	387	3181	2995	4707	5885	5184	6835							
nikR	402	345	308	363	288	399	449							
nirB	2544	266	221	583	23760	633	248							
nirC	810	79	56	156	6247	142	38							
nirD	327	53	63	168	2547	174	119							
nlp	288	246	333	386	419	384	240							
nlpB	1035	1361	1915	3567	8999	5315	2981							
nlpC	465	418	307	387	423	1069	1144							
nlpD	1134	27585	35603	37816	27065	30336	42283							
nlpI	885	141254	144035	157870	135973	139782	215432							
nmpC	1089	163112	134267	328962	133695	388832	519600							
nrdA	2286	6146	6102	10864	10998	6881	5479							
nrdB	1131	2849	3092	4887	7298	4639	4024							
nrdD	2139	3940	4265	5697	19544	19174	7460							
nrdE	2145	444	368	530	338	254	539							
nrdF	960	544	450	560	102	150	305							
nrdG	465	772	742	887	1481	1676	967							
nrdH	246	23	3	3	3	2	0							
nrdI	411	13	13	7	0	4	5							
nrdR	450	3462	3318	4379	3519	3747	3226							
nrfA	1437	2871	2113	2884	6645	3610	5959							
nrfB	567	998	745	1317	2322	1003	1528							
nrfC	672	350	315	562	1669	669	904							
nrfD	957	244	292	476	1714	479	683							
nrfG	621	134	74	88	463	159	213							
nth	636	740	744	934	1007	1255	994							
ntpA	453	561	715	1254	2329	1373	895							
nudC	774	862	764	628	788	723	636							
nudE	564	554	717	660	756	603	966							
nudF	633	753	454	503	1120	696	685							
nuoA	444	4182	5032	6040	14113	7987	5417							
nuoB	663	3555	4549	5203	13361	6964	4674							
nuoC	1803	5335	8117	9474	24481	11301	7385							
nuoE	501	1038	1485	1678	5051	2227	1229							
nuoF	1338	2176	3139	2869	9315	3620	2305							
nuoG	2727	4855	7640	6288	19634	7714	5118							
nuoH	978	3829	5983	5096	14766	5826	5267							
nuoI	543	3395	4409	3299	9575	3040	4050							
nuoJ	555	1818	2592	1995	5638	1942	2123							
nuoK	303	625	907	831	2232	1104	813							
nuoL	1842	4852	7213	5452	14429	5159	5289							
nuoM	1530	4011	5957	5549	11154	4509	4586							
nuoN	1458	2041	3299	3111	5966	2100	1929							
nupC	1203	6523	3614	5046	11374	11800	3093							
nupG	1256	2285	1408	1864	4406	4506	2541							
nusA	1503	12436	14684	17733	30501	24838	22586							
nusB	420	5587	6341	9233	16155	10227	7708							
nusG	546	2148	1921	2572	4843	3184	2419							
nxiA	1014	1867	1330	1216	1306	1277	985							
oat	1290	1256	1368	417	101	106	101							
obgE	1173	2996	3036	2217	6486	3193	3053							
ogt	516	1997	1991	1609	1059	1150	1357							
ompA	1053	216943	157386	188227	90072	63818	105885							
ompC	1137	59338	47017	90944	94994	307695	52409							
ompF	1092	3893	2448	2166	33401	14461	1843							
ompL	693	296	151	135	4	13	7							
ompN	1152	500	364	528	367	865	428							
ompR	720	2851	1826	2033	3496	2917	2504							
ompS	1197	742	668	521	348	706	608							
ompW	639	73453	65806	103769	118932	203645	75352							
ompX	516	22348	27672	49501	38961	81034	27438							
oppA	1632	9590	6274	4848	4077	9236	12354							
oppB	921	958	1299	1231	1049	1209	1183							
oppC	909	1306	1850	2226	1858	1392	1956							
oppD	1008	2273	3115	3474	2818	1986	3386							
oppF	1005	1377	1773	1928	1578	1402	1701							
orf242	729	811	965	1127	485	648	1048							
orf245	738	2616	1636	3477	480	3500	5275							
orf319	960	21752	19896	3219	2028	1807	2874							
orf32	894	553	406	1127	140	873	1169							
orf408	1227	2462	800	1218	169	2373	2899							
orf48	1344	1143	1095	2132	626	2227	2406							
orf70	213	511	577	952	728	642	1158							
orfB	324	2387	2361	2859	2844	2503	2126							
orfX	171	9139	6473	8350	5694	14638	6019							
orgA	681	4896	8491	18206	3173	3964	3360							
orn	546	645	481	861	1563	1969	1041							
osmC	432	11422	11187	5152	146	468	278							
osmE	342	44581	37450	22185	1428	6300	4275							
osmY	618	34287	28543	14925	424	1221	671							
otsA	1422	4725	7456	2821	492	468	442							
otsB	804	3072	5591	1423	270	304	220							
oxyR	918	1850	1982	2969	4826	3135	3269							
pabA	564	467	497	405	475	445	270							
pabB	1365	929	984	1363	1606	1307	932							
pabC	810	1241	1206	1940	1977	1481	1648							
pagC	558	13635	19216	24671	20411	11724	2774							
pagD	264	585	938	837	440	240	112							
pagK	201	4621	3568	2995	1685	3677	1813							
pagO	915	2207	2112	2779	1355	1385	1087							
pagP	573	3836	5600	9676	4117	7454	4075							
pal	525	8989	10202	11918	41937	33371	16074							
panB	792	226	170	287	585	455	223							
panC	855	305	342	857	1111	1098	533							
panD	381	1371	1253	2332	2381	2872	1903							
panF	1452	250	284	304	597	398	280							
parC	2259	702	995	1407	3377	2310	1273							
parE	1893	4709	5348	7640	11069	9193	7623							
pbpC	2316	197	276	153	317	222	199							
pbpG	948	1029	1122	1402	2517	1564	1199							
pckA	1620	47707	40817	64568	54198	77269	86772							
pcm	627	511	564	675	1529	1153	682							
pcnB	1419	1359	1550	2072	3092	2737	1332							
pdgL	771	1035	1037	1277	1769	1151	835							
pdhR	765	830	825	986	906	856	687							
pduA	285	510	672	911	632	4053	10371							
pduC	1665	2370	3731	7027	3828	40501	88752							
pduD	675	549	910	1718	1031	10474	23377							
pduE	522	337	656	1032	615	5310	14756							
pduF	795	2591	2653	3290	1509	9945	35842							
pduG	1833	487	1071	1755	1188	9951	25140							
pduH	351	149	224	277	252	1690	5624							
pduJ	276	104	162	199	214	1683	4709							
pduK	483	189	278	420	377	3152	9484							
pduL	633	191	240	307	286	2753	7195							
pduM	492	56	52	65	81	290	1473							
pduN	276	38	51	38	28	259	919							
pduO	1011	123	176	138	230	1323	4416							
pduP	1395	295	295	295	408	3120	8492							
pduQ	1113	161	137	118	159	909	3121							
pduS	1356	87	154	64	147	687	2401							
pduT	555	162	140	55	103	978	2946							
pduU	351	133	146	56	129	1185	3180							
pduV	453	78	88	34	53	520	1399							
pduW	1215	737	786	429	558	3473	13715							
pduX	903	924	992	1393	1840	1875	2162							
pdxA (NC_011294 103049..104039)	990	1512	2264	2011	5521	3993	1714							
pdxA (NC_011294 194184..195168)	984	1395	1030	1105	26772	781	908							
pdxB	1137	555	680	1308	1699	1276	685							
pdxH	657	855	1043	2044	2250	3107	2180							
pdxJ	732	467	560	611	948	898	741							
pdxK	867	261	108	190	176	220	186							
pdxY	861	659	870	1284	2956	2007	1745							
pegA	534	1208	496	344	458	323	757							
pegB	732	110	46	28	7	18	34							
pegC	2394	578	427	426	81	107	284							
pegD	1023	891	382	499	132	170	220							
pepA	1512	1482	1534	1226	1762	1265	1054							
pepB	1284	968	1311	1459	4067	1688	1521							
pepD	1458	5076	4427	8257	15237	13204	8874							
pepE	705	1034	929	1760	2581	2277	2757							
pepN	2613	5468	5852	7427	9182	8289	8609							
pepP	1143	3320	3539	3788	4044	2438	2853							
pepQ	1332	1326	1646	2927	7983	5499	2693							
pepT	1230	6100	3774	8541	12094	9251	6192							
perM	1068	824	910	1168	1709	1009	1212							
pfkA	963	11536	9966	10224	25128	8631	6881							
pfkB	933	954	1159	844	453	675	689							
pflA	825	6322	4830	4896	3303	4984	5059							
pflB	2283	53158	52637	137969	184592	324665	139202							
pflC	879	3614	2766	1607	1158	1251	1097							
pflD	2298	3140	2848	2084	2270	2448	1628							
pflE	900	371	529	668	282	229	346							
pflF	2433	1064	1466	2400	751	1020	1405							
pfs	699	392	399	428	827	579	337							
pgi	1650	6639	5809	10750	15256	11684	7797							
pgk	1164	13117	11311	19042	38272	29019	17498							
pgm	1641	4367	4838	7064	9477	9650	5929							
pgpA	516	722	928	779	1068	661	622							
pgpB	765	1231	1334	688	507	630	611							
pgsA	549	1285	1229	1830	2128	2399	2497							
pgtA	1248	1894	2439	2916	2106	2326	5830							
pgtB	2007	4221	3583	4286	2617	3538	7835							
pgtC	1194	3231	2388	2316	1520	1967	4933							
pgtE	939	562	631	909	513	311	690							
pgtP	1392	1748	1753	980	4161	1469	10201							
pheA	1161	4578	5042	5083	6911	5770	3966							
pheP	1395	771	738	953	775	566	860							
pheS	984	2354	2470	5108	7430	6866	3055							
pheT	2388	19070	20301	27126	36757	28579	17015							
phnA	336	797	723	1124	746	934	694							
phnB	444	1411	1399	429	120	136	76							
phnO	435	1691	2327	1839	1786	1772	1337							
phnR	720	159	100	136	116	113	85							
phnS	945	22	62	41	55	57	23							
phnT	1110	113	114	98	72	78	76							
phnU	870	67	55	77	58	42	61							
phnV	798	179	247	189	244	241	139							
phnW	1104	57	67	75	58	50	38							
phnX	813	38	54	39	34	38	31							
phoB	690	1258	1237	1442	1829	1497	978							
phoE	1053	489	458	458	266	512	383							
phoH	855	1997	2270	1956	528	575	794							
phoL	1086	7818	6519	3860	10837	3264	3740							
phoN	753	1954	1613	2924	2855	3776	1772							
phoP	675	9162	11185	14335	11440	12829	9355							
phoQ	1464	6680	9148	11244	9225	9818	6296							
phoR	1296	925	1046	1230	1570	1032	738							
phoU	726	320	346	443	856	580	487							
phrB	1422	755	869	354	493	312	321							
phsA	2277	10197	7265	17207	8742	27032	29112							
phsB	579	2720	2292	4732	2463	6737	7940							
phsC	765	7911	5362	10268	5185	14777	19362							
pipA	681	1138	1556	1348	1439	3171	3022							
pipB	876	1413	2062	1455	393	217	318							
pipC	342	6863	14582	21436	115	139	1149							
pipD	1470	12281	8564	11756	6380	17028	11694							
pitA	1374	2607	2810	2818	8819	4848	3131							
pldA	747	2153	1960	3130	4166	3723	4627							
pldB	1017	1445	1429	1774	2231	1711	1421							
plsB	2421	4714	4366	6516	12755	10889	6090							
plsC	738	1053	788	1324	1963	1774	1443							
plsX	1050	1425	2330	3785	6360	3731	3228							
pmbA	1353	1594	1545	1539	1942	1260	1659							
pmgI	1545	2699	2390	5125	23969	4940	2682							
pmrD	258	6678	9832	10362	5101	6415	5761							
pmrF	984	414	895	1284	3719	1277	1418							
pncA	657	176	255	318	429	294	275							
pncB	1203	792	1067	1219	1021	919	1016							
pnp	2136	9131	13009	18582	59491	31746	31712							
pntA	1530	5247	4519	7707	5949	5124	6889							
pntB	1389	3131	3134	5271	4113	3883	4090							
pnuC	720	1238	868	622	217	376	571							
pocR	912	4079	3007	5098	2701	14624	18459							
polA	2787	6183	6328	7717	9898	7546	10703							
polB	2352	751	1019	743	966	606	456							
potA	1137	1674	1463	1565	1632	2325	1616							
potB	864	597	539	836	857	916	651							
potC	780	726	789	1088	899	713	851							
potD	1047	1554	1359	1872	2447	2169	1713							
potE	1320	983	1526	6066	13946	50372	5332							
potF	1113	660	515	269	686	253	261							
potG	1134	251	244	236	320	173	203							
potH	954	176	213	131	176	138	139							
potI	846	126	185	128	146	73	98							
poxB	1719	1282	1357	523	97	82	60							
ppa	531	3241	3171	5403	10840	9041	4718							
ppc	2652	1667	1483	2929	7964	4948	2616							
ppdA	471	9	10	19	23	29	20							
ppdB	564	111	66	101	131	93	98							
ppdC	321	50	66	55	104	98	82							
ppdD	438	22	79	41	26	44	35							
pphA	651	578	601	450	512	242	169							
pphB	657	792	297	299	12	30	45							
ppiA	573	2288	2438	4208	10667	7830	2542							
ppiB	495	7074	4271	6206	6501	8718	5403							
ppiC	282	1042	999	1376	3567	3554	1498							
ppk	2067	8865	6075	6374	5065	5499	6570							
ppnK	879	1381	922	1089	955	1424	1411							
pps	2379	14309	18387	27973	10102	18949	32859							
ppx	1542	2439	2601	2310	2105	1585	2242							
pqaA	1557	1574	779	850	273	836	650							
pqiA	1254	1457	1555	1375	3340	1789	1257							
pqiB	1641	2751	2894	3002	5587	3289	2687							
prc	2049	7798	8771	14683	27852	19754	12848							
prfA	1083	1331	1884	2860	3792	2674	1886							
prfB	882	3937	4587	7262	9990	9604	6464							
prfC	1590	1431	1457	2239	6038	3290	1790							
prfH	615	133	203	298	337	305	286							
prgH	1179	10149	30336	66410	171	279	1925							
prgI	243	2915	9768	22198	44	29	799							
prgJ	306	3059	9819	22119	62	62	794							
prgK	759	4895	15207	36908	137	147	1722							
priA	2199	508	507	799	958	841	451							
priB	315	2099	2292	3132	10766	6040	4547							
priC	516	189	207	268	181	132	140							
prkB	870	951	1017	1219	1744	1220	1426							
prlC	2043	2215	1434	1738	9608	1727	1968							
prmA	882	161	216	240	813	498	254							
proA	1248	918	1070	1863	3130	3095	1304							
proB	1104	1376	1359	2054	3456	2763	1425							
proC	810	715	983	1088	917	1153	941							
proP	1503	10243	10888	3387	1069	812	1094							
proQ	687	2723	3087	4356	10589	5820	3746							
proS	1719	1835	2238	3751	7687	5174	3441							
proV	1203	132	528	1473	60	49	815							
proW	1065	50	68	160	22	8	63							
proX	996	189	413	645	129	117	338							
proY	1371	680	808	1169	1156	830	889							
prpB	888	26	41	37	17	18	19							
prpC	1170	222	147	159	135	181	122							
prpD	1452	233	155	155	159	136	145							
prpE	1887	175	227	177	148	178	100							
prpR	1626	738	636	289	195	237	247							
prsA	948	3880	4859	11190	18090	19444	8668							
psd	969	2092	1810	2039	3595	3070	1979							
psiF	321	3229	3708	1222	162	198	214							
pspA	663	822	854	835	434	807	452							
pspB	225	194	133	130	38	73	43							
pspC	360	502	342	290	188	138	162							
pspD	219	123	83	90	40	43	22							
pspE	315	8655	4274	6899	7516	17163	14802							
pspF	981	379	307	355	306	346	284							
pspG	198	110	106	121	48	54	54							
pssA	1356	11606	11609	11625	11433	16378	14137							
pstA	891	265	234	276	420	320	197							
pstB	774	786	636	802	1302	1192	780							
pstC	960	294	271	269	415	365	143							
pstS	1041	739	584	817	1433	1236	646							
pta	2145	2266	3321	7511	14616	11606	6207							
pth	585	1226	1166	883	544	665	670							
ptpS	363	414	390	463	768	548	516							
ptr	2889	2106	2169	2979	7306	5245	3165							
ptrB	2052	17152	16597	12604	7792	3342	3548							
ptsA	2502	1803	1536	1224	1633	1321	942							
ptsG	1434	5517	5195	62419	14638	7019	2489							
ptsH	258	7947	5275	9428	13116	13781	7166							
ptsI	1728	42496	30143	43184	58480	61591	34196							
ptsJ	1293	101	84	116	137	86	79							
ptsN	492	1541	1657	1552	2093	1984	2056							
ptsO	273	466	451	521	515	693	520							
ptsP	2247	3435	4441	6881	9396	6111	6351							
ptxA	465	213	127	327	129	205	514							
pudB	702	540	762	1261	760	5969	14424							
purA	1299	11171	10015	21370	15005	30798	21062							
purB	1371	1866	2039	3060	6174	5015	3580							
purC	714	709	716	2010	3628	3037	1636							
purD	1290	198	320	405	834	467	172							
purE	510	58	104	183	164	78	28							
purF	1518	1778	1739	3513	4520	2782	1892							
purG	3888	768	816	1653	3022	1495	789							
purH	1590	370	478	870	1695	1303	644							
purK	1068	153	206	309	449	236	143							
purM	1053	371	445	867	1181	668	561							
purN	639	316	349	580	646	519	409							
purR	1026	748	907	1310	2130	1186	898							
purT	1179	123	172	5416	581	296	170							
purU	843	3170	2566	3706	3821	4632	3613							
putA	3981	6673	4542	768	477	596	1094							
putP	1509	1771	1320	415	301	181	374							
pykA	1443	8186	7875	15135	28359	17271	9706							
pykF	1359	10042	9971	10191	46810	14079	6044							
pyrB	936	137	105	115	1305	424	375							
pyrC	1047	824	922	1434	1517	1766	1776							
pyrD	1011	958	1005	1500	2926	2545	1514							
pyrE	642	75	76	126	1092	344	256							
pyrF	738	319	270	284	412	507	275							
pyrG	1638	11808	12831	15869	29073	20078	12581							
pyrH	726	1705	1991	3012	8113	6722	3818							
pyrI	462	184	163	190	1335	349	370							
pyrL	102	7	13	15	16	44	24							
qor	984	1473	1506	1449	842	815	1012							
queA	1065	365	359	483	853	835	547							
queF	849	1125	1123	1408	1870	1594	1216							
radA	1383	253	264	266	415	332	262							
radC	666	437	423	309	368	392	375							
rarD	888	458	352	400	459	263	429							
ratA	5598	4694	4645	1699	927	1068	974							
ratB	7308	1627	2022	1515	1239	1101	1021							
rbfA	402	1105	1928	2551	6412	2865	3848							
rbn	873	4120	3333	2975	3662	3597	2311							
rbsA	1506	645	329	338	625	436	351							
rbsB	891	44948	26318	28118	26242	47874	62494							
rbsC	966	537	340	426	706	507	657							
rbsD	420	1305	787	493	480	410	1025							
rbsK	930	2736	2398	3416	4015	3685	4165							
rbsR	999	1949	2047	2591	2522	2594	2788							
rcnA	849	545	428	445	316	318	425							
rcsA	624	388	280	351	94	539	1126							
rcsB	651	4739	4461	6920	5881	9477	8789							
rcsC	2847	1426	1785	2399	3130	2561	2202							
rcsF	405	510	502	822	1005	1027	785							
rdgC	912	849	938	1432	1985	1299	1162							
recA	1062	21880	16931	17563	21009	8450	8277							
recB	3546	1890	2270	2818	7996	5099	3040							
recC	3372	1533	1748	2071	4494	3240	2050							
recD	1836	352	495	485	1307	991	573							
recF	1074	1094	1315	1342	4362	1595	929							
recG	2082	814	1051	1188	2167	1382	1073							
recJ	1734	1339	1512	1937	3101	2996	2132							
recN	1662	3203	2607	2438	1798	1025	714							
recO	729	700	865	881	1842	1355	591							
recQ	1848	2515	2884	1867	2497	2167	1522							
recR	606	201	441	531	1437	623	420							
recX	501	410	471	345	460	232	217							
relA	2235	7198	7790	9390	10421	10284	9758							
rep	2025	1608	1506	2206	2575	2450	2106							
res	2976	2886	2952	3197	4892	4470	5046							
rfaB	1080	2379	1375	1169	2715	12870	4656							
rfaC	954	1258	1503	2361	2932	3471	2828							
rfaD	933	11481	9012	12142	13641	13592	16828							
rfaE	1434	982	1074	1209	2257	2032	1331							
rfaF	1047	1787	1980	2830	3235	2999	2891							
rfaG	1125	2733	2077	3255	3008	4891	3145							
rfaH	489	1568	1221	1587	2052	2597	1737							
rfaI	1014	4176	2016	1802	3315	17087	6518							
rfaJ	1014	2506	1474	1069	1963	11644	4745							
rfaK	1146	3422	1761	1876	2365	8205	5611							
rfaL	1215	3211	2768	5542	8375	13409	7525							
rfaP	798	1899	1266	1758	2786	9634	3306							
rfaQ	1035	2965	1575	2481	2832	6205	3379							
rfaY	699	2542	1263	813	2333	14177	5594							
rfaZ	810	1932	1421	1829	3518	12411	5631							
rfbA	879	3921	2553	3355	6361	16081	8793							
rfbB	1086	8746	5315	8063	8205	21361	11684							
rfbC	552	5065	2811	3235	8125	25552	13181							
rfbD	900	4320	3191	4625	4627	12087	7272							
rfbE	1017	21462	7657	7218	27557	79894	39775							
rfbF	774	9922	5972	6704	13789	32670	27176							
rfbG	1080	15843	9598	9336	22077	55499	45208							
rfbH	1314	17359	9757	12552	31500	70223	50432							
rfbI (NC_011294 2178773..2179748)	975	8353	5170	4773	12608	37941	19504							
rfbI (NC_011294 596817..597180)	363	253	170	276	200	1560	340							
rfbK	1434	9958	5480	5454	11209	31201	22111							
rfbM	1440	8759	4862	3785	11634	33348	17436							
rfbN	945	5634	2947	1859	7261	22986	10356							
rfbP	1431	8819	5108	6115	9283	25933	15582							
rfbS	840	6744	3479	2527	12393	37773	20196							
rfbU	1062	5805	2678	1284	8405	25687	10190							
rfbV	1002	10811	5242	2317	15714	47318	24402							
rfbX	1299	10986	5488	3819	17835	46896	22458							
rfc	1224	4670	3128	3828	4896	13475	9531							
rfe	1104	8224	7434	6854	9563	7840	7656							
